t,real,imag
-30,-0.122743100453626824,0.582355412985601339
-29.9499999999999993,-0.112379982184260319,0.660566201496591399
-29.8999999999999986,-0.0957637428151325021,0.739180778128181282
-29.8499999999999979,-0.0728442264115263249,0.817540231451407307
-29.7999999999999972,-0.0436954983312052847,0.895000461080305287
-29.7499999999999964,-0.00850077308254032493,0.97097119093508899
-29.6999999999999957,0.032477005060763231,1.04494552309523514
-29.649999999999995,0.0789337514680565899,1.11651480477534681
-29.5999999999999943,0.130565044269259967,1.18536620153415151
-29.5499999999999936,0.187101659250766161,1.25126352489326775
-29.4999999999999929,0.248333204072384628,1.31401497961405545
-29.4499999999999922,0.3141153146226493,1.37343399872977034
-29.3999999999999915,0.384358856481477773,1.42930074873737079
-29.3499999999999908,0.459002908842714386,1.48133192952731041
-29.2999999999999901,0.537976390540996441,1.52916512627506451
-29.2499999999999893,0.621155445480191748,1.57236141395576112
-29.1999999999999886,0.708324704293695318,1.61042661213865368
-29.1499999999999879,0.799150067900556094,1.64284812704357597
-29.0999999999999872,0.893168768263123081,1.66914132988808905
-29.0499999999999865,0.98979946368021543,1.68889746341506597
-28.9999999999999858,1.0883715407455592,1.70182452500798043
-28.9499999999999851,1.18816926174699633,1.70777357941495311
-28.8999999999999844,1.28848355923505764,1.70674536319999648
-28.8499999999999837,1.38866267207016936,1.69887545501502646
-28.7999999999999829,1.48815276287439802,1.68440010800150786
-28.7499999999999822,1.58652120606355496,1.66360839216107337
-28.6999999999999815,1.68345815117920972,1.63678892683141997
-28.6499999999999808,1.77875575912473849,1.60418069756910109
-28.5999999999999801,1.87226852066165095,1.565936991351077
-28.5499999999999794,1.96386158331591254,1.52210938642619853
-28.4999999999999787,2.05335639176337947,1.47265532937569055
-28.449999999999978,2.14048373207641784,1.41746869415859544
-28.3999999999999773,2.22485327857629844,1.35642856300461001
-28.3499999999999766,2.30594610109895815,1.28945803449237095
-28.2999999999999758,2.38313272309719171,1.21658277795921599
-28.2499999999999751,2.45571487692799417,1.13797872053031113
-28.1999999999999744,2.52298484888280683,1.05399977934995559
-28.1499999999999737,2.58429299475510454,0.965179718701445255
-28.099999999999973,2.63911224127678024,0.872206508635616551
-28.0499999999999723,2.68708851752257782,0.775872268311955549
-27.9999999999999716,2.72806810905803498,0.677006185699072782
-27.9499999999999709,2.76209658876922504,0.576400959206257113
-27.8999999999999702,2.78938865850886764,0.474744733728397095
-27.8499999999999694,2.81027315304142489,0.37256991756418778
-27.7999999999999687,2.82512177380836071,0.270227722957390504
-27.749999999999968,2.83427308350014862,0.167893164387830085
-27.6999999999999673,2.83796436999987245,0.0656002434022815439
-27.6499999999999666,2.83628295969509026,-0.0366980201108400017
-27.5999999999999659,2.82914556072074674,-0.139054325041765514
-27.5499999999999652,2.81630971917108752,-0.241448954144010353
-27.4999999999999645,2.79741620996495621,-0.343721854511907843
-27.4499999999999638,2.77205603290607749,-0.445526579642333886
-27.3999999999999631,2.7398515103452743,-0.546314340356470418
-27.3499999999999623,2.70053849722826023,-0.645351597279444578
-27.2999999999999616,2.65403634937212596,-0.741769181164324776
-27.2499999999999609,2.60049412680341385,-0.834635746787967037
-27.1999999999999602,2.54030524025003057,-0.923044317556916183
-27.1499999999999595,2.47408776960704202,-1.0061984525910479
-27.0999999999999588,2.40263317827208578,-1.08348455692862666
-27.0499999999999581,2.32683122980268031,-1.15451906633144441
-26.9999999999999574,2.2475827532744117,-1.21916328892972681
-26.9499999999999567,2.16571385348933898,-1.27750388825316796
-26.8999999999999559,2.08190487933614321,-1.32980248808464085
-26.8499999999999552,1.99664499191290901,-1.37642278109690985
-26.7999999999999545,1.91021893995817793,-1.41774704032807319
-26.7499999999999538,1.82272737592970868,-1.45409549457375387
-26.6999999999999531,1.73413661541985653,-1.48566138522277602
-26.6499999999999524,1.64434905122759889,-1.51247179211038429
-26.5999999999999517,1.55328224383186764,-1.53437996946965516
-26.549999999999951,1.4609435282863541,-1.55108970770566557
-26.4999999999999503,1.36748797139790046,-1.56220700961440695
-26.4499999999999496,1.27325048637746874,-1.56731000745840721
-26.3999999999999488,1.17874734131666203,-1.56602526032279488
-26.3499999999999481,1.08464742319331564,-1.55809779590115238
-26.2999999999999474,0.991718575825826454,-1.5434435901512118
-26.2499999999999467,0.900758295550432964,-1.52217635048759803
-26.199999999999946,0.812520400095784856,-1.49460491664287298
-26.1499999999999453,0.727649628173820395,-1.46120254677084049
-26.0999999999999446,0.646634465696173777,-1.42255397286994634
-26.0499999999999439,0.56978515389679929,-1.3792896205635885
-25.9999999999999432,0.497239417208478696,-1.33201822768092604
-25.9499999999999424,0.42899372678962,-1.28126899318601462
-25.8999999999999417,0.364953696650994308,-1.22745240794607335
-25.849999999999941,0.304994197534430911,-1.17084544508256827
-25.7999999999999403,0.249018451345025787,-1.11160245011929182
-25.7499999999999396,0.197005918229532367,-1.04978863320574312
-25.6999999999999389,0.149041066259051613,-0.98542929030572779
-25.6499999999999382,0.105318683166626487,-0.918565398566296154
-25.5999999999999375,0.0661256014692205574,-0.849305436385282886
-25.5499999999999368,0.0318028178018036345,-0.777864263400673939
-25.4999999999999361,0.00269528519996140026,-0.704582441773411339
-25.4499999999999353,-0.0209014078901277323,-0.629923003927635339
-25.3999999999999346,-0.0387879867910642384,-0.554446713666032931
-25.3499999999999339,-0.0508939787661097931,-0.478770610555849019
-25.2999999999999332,-0.0572904259860856913,-0.403517424374639444
-25.2499999999999325,-0.0581811403730370658,-0.329264831116063306
-25.1999999999999318,-0.0538746441898589473,-0.256503287547207248
